Restrict Field,报表受控栏位
Restrict Fields,受控栏位
Restrict Field Set,报表受控栏位定义
Restrict Field Assign,报表受控栏位分派
Restrict Field Assign User,报表受控栏位用户
Restrict Field Assign Role,报表受控栏位角色
Restrict Field Assign Report,报表受控栏位报表
Field Set Name,栏位定义名
For Report,报表
For Restrict Report,报表
For Restrict Role,角色
Permission Enhancement,权限优化
Report Apply User Permission,报表强化用户权限
DocType Field,单据类型字段
DocName Field,单据编号字段
Link Field,链接栏位
No input in this field means applicable for all reports,此字段内容留空则适用于所有报表
For Field Type,针对字段类型
fieldname or label,栏位名或中/英文标签
No field permission,无字段权限
Check Against Field, 权限检查字段
"for link and dynamic field, fieldname, label or translated label",限链接或动态链接字段，如客户，凭证号等，支持字段名，英文标签或中文标签
Button Check,按钮权限检查
Buttons,按钮
DocTypes,单据类型
Check DocType,权限检查单据类型
For DocType,单据类型
Leave empty means for all DocTypes,留空意味着针对所有单据类型
For button label in English,这里填按钮英文标签
Check Field,权限检查字段
"If checked, only owner, administrator, system manager and project user can see",如勾选则仅限创建者，系统管理员及项目成员才允许访问
Sensitive Fields,敏感字段
Sensitive Field,敏感字段
White List Roles,白名单角色
WhiteList Role,白名单角色
Update Property Setter,更新属性设置
Sensitive DocType,敏感单据类型
Updated {0} inserted {1} property records,"属性设置记录更新了 {0} 笔，新增了 {1} 笔"
Updated custom permissions successfully,已成功更新角色权限分派
Update Custom Perm,更新角色权限分派
skiped invalid docType {0} field {1}, 无效单据类型/字段: {0}/{1} 
Update Status,更新状态
Invalid Field,无效字段
No update needed,无须更新